query_id,domain,query,context_length_chars,matched_keywords,keyword_coverage_ratio,query_context_cosine_sim,gold_context_cosine_sim,is_relevant_hit,is_grounded,hallucination_detected,retrieved_snippet
Q-15,Operating Systems,What is the difference between a process and a thread in modern operating systems?,2329,process,0.1429,0.4769,0.4149,False,False,True,"that can execute code at the same time.)  Service‐oriented and multitier architectures are often distributed, with diffe..."
Q-16,Operating Systems,How does the Round Robin CPU scheduling algorithm work with time quantum?,2744,,0.0,0.3309,0.3739,False,False,True,"amount of time, and a coffee cup card to indicate that you need a break.   After everyone has a card deck, the game begi..."
Q-17,Operating Systems,What causes thrashing in virtual memory and how can the working set model prevent it?,2365,page; memory,0.2857,0.4661,0.4938,False,True,False,## Translation Lookaside Buffer (TLB) A TLB is a high-speed hardware cache located inside the CPU MMU (Memory Management...
Q-18,Operating Systems,What are semaphores and mutexes and how do they solve critical section race conditions?,321,,0.0,0.4982,0.3775,False,False,True,"Options: prophase, metaphase, telophase, anaphase  ---  Options: anaphase, prophase, passivation, latent phase  ---  ---..."
Q-19,Database Systems,Explain ACID properties in relational database management systems.,2943,,0.0,0.5699,0.2687,True,False,True,"128 ❘ CHAPTER 6 LOW‐LEVEL DESIGN  Relational databases are sim ple, easy to use, and provide a good set of tools for sea..."
Q-20,Database Systems,What is the difference between clustered and non-clustered B-tree indexes?,998,index,0.1667,0.4594,0.2642,False,False,True,--- Document: SciQ_Exam_Q9951.txt --- Question: What force holds together both types of star clusters? Correct Answer: g...
Q-21,Database Systems,What is database normalization and what are the requirements for Third Normal Form 3NF?,2977,normalization; 3nf; key,0.5,0.7911,0.4354,True,True,False,CounselorFavorites FavoriteBookCounselor BookInfo Book Patricia Wrede Jasper Fforde A. Lee Martinez Terry Pratchett Terr...
Q-22,Database Systems,How does write-ahead logging WAL guarantee durability and crash recovery?,2889,recovery,0.1429,0.4441,0.3599,False,False,True,photographers take your picture and upload it to a local computer.  Components in the application perform several proces...
Q-23,Compilers,What is the difference between lexical analysis lexing and syntax analysis parsing?,2581,syntax,0.1429,0.3008,0.4057,False,False,True,"Expert Systems: Principles and Programming, Fourth Edition 19  Figure 2.2 The Pyramid   of Knowledge  Expert Systems: Pr..."
Q-24,Compilers,Explain LL1 versus LR1 parser grammars and their lookahead mechanisms.,2024,,0.0,0.3961,0.3343,False,False,True,"of messages, but the communication dia gram focuses more on the objects involved in the collaboration.  The dia gram use..."
Q-25,Compilers,What is Intermediate Representation IR and why is Static Single Assignment SSA form used?,2906,ir; ssa; assignment,0.4286,0.4084,0.4138,True,True,False,"What to Specify ❘ 97  An alternative would be to have the user interface ask components for that information, as shown i..."
Q-26,Artificial Intelligence,Explain the difference between forward chaining and backward chaining in expert systems.,1109,forward; chaining,0.2857,0.6707,0.3563,True,True,False,"Expert Systems: Principles and Programming, Fourth Edition 27  Figure 3.21 Causal Forward Chaining  ---  Expert Systems:..."
Q-27,Artificial Intelligence,How does the A* search algorithm use heuristics f(n) = g(n) + h(n) to find optimal paths?,2555,heuristic; search; graph,0.5,0.4835,0.3919,True,True,False,CSM395IntroductiontoArtificialIntelligence K.OWUSU-AGYEMANGCSM395Page8 function.Thenodewiththesmallestevaluationvalueise...
Q-28,Artificial Intelligence,"What is the difference between Supervised, Unsupervised, and Reinforcement Learning?",2104,supervised; unsupervised; reinforcement; reward,0.6667,0.5931,0.6653,True,True,False,06 codebasics.io Models are trained on labelled datasets where the correct output is  provided. The algorithm learns to ...
Q-29,Computer Architecture,"What are pipeline hazards in CPU design and how do structural, data, and control hazards differ?",2872,data,0.1429,0.4577,0.4281,False,False,True,94 ❘ CHAPTER 5 HIGH‐LEVEL DESIGN Architecture  An application’s architecture describes how its pieces fi t together at a...
Q-30,Computer Architecture,"Explain cache memory hierarchy L1, L2, L3 and cache coherence protocols like MESI.",2374,cache,0.125,0.4659,0.4689,False,True,False,## Translation Lookaside Buffer (TLB) A TLB is a high-speed hardware cache located inside the CPU MMU (Memory Management...
